"","Distanta","Structura cluster"
"Cluster 1",1.63707055437449,"{15,29}"
"Cluster 2",2.93030146344479,"{14,16}"
"Cluster 3",4.4256826215474,"{17,26}"
"Cluster 4",4.65331423109737,"{13,28}"
"Cluster 5",6.78134696551258,"{32,{13,28}}"
"Cluster 6",6.93205116349651,"{6,43}"
"Cluster 7",7.01332065905065,"{46,50}"
"Cluster 8",7.46636904168731,"{35,44}"
"Cluster 9",7.99082807557097,"{19,41}"
"Cluster 10",8.16496580927726,"{7,38}"
"Cluster 11",8.68792265158939,"{37,{46,50}}"
"Cluster 12",9.50508635766486,"{36,47}"
"Cluster 13",9.60624796681826,"{2,24}"
"Cluster 14",11.7960445347865,"{4,42}"
"Cluster 15",12.1594956035739,"{18,22}"
"Cluster 16",12.4498995979887,"{49,{15,29}}"
"Cluster 17",12.9099444873581,"{21,30}"
"Cluster 18",14.3740506932922,"{34,45}"
"Cluster 19",14.6496871411417,"{48,{19,41}}"
"Cluster 20",14.9759807692184,"{{14,16},{7,38}}"
"Cluster 21",15.2931357150847,"{12,{17,26}}"
"Cluster 22",15.9954160100115,"{3,31}"
"Cluster 23",17.6638991543015,"{20,{3,31}}"
"Cluster 24",18.3771597370214,"{1,8}"
"Cluster 25",19.6638416050035,"{27,{{14,16},{7,38}}}"
"Cluster 26",21.1773463871185,"{25,39}"
"Cluster 27",21.9396140956642,"{23,{49,{15,29}}}"
"Cluster 28",23.6330277366232,"{40,{2,24}}"
"Cluster 29",24.0233220017549,"{{37,{46,50}},{36,47}}"
"Cluster 30",24.3170721921863,"{{32,{13,28}},{18,22}}"
"Cluster 31",26.3840861126551,"{10,{6,43}}"
"Cluster 32",29.4213074715135,"{{35,44},{27,{{14,16},{7,38}}}}"
"Cluster 33",33.5730050288422,"{{21,30},{{37,{46,50}},{36,47}}}"
"Cluster 34",35.5387112878337,"{{12,{17,26}},{{35,44},{27,{{14,16},{7,38}}}}}"
"Cluster 35",35.9955552811733,"{11,{23,{49,{15,29}}}}"
"Cluster 36",37.1700596358593,"{{4,42},{10,{6,43}}}"
"Cluster 37",38.512508790435,"{{1,8},{{32,{13,28}},{18,22}}}"
"Cluster 38",38.6953916291505,"{{25,39},{{21,30},{{37,{46,50}},{36,47}}}}"
"Cluster 39",39.2817175456132,"{5,{20,{3,31}}}"
"Cluster 40",40.5751976787134,"{9,33}"
"Cluster 41",47.4833304083303,"{{34,45},{48,{19,41}}}"
"Cluster 42",55.7285085630924,"{{40,{2,24}},{{1,8},{{32,{13,28}},{18,22}}}}"
"Cluster 43",64.9221071746751,"{{11,{23,{49,{15,29}}}},{{34,45},{48,{19,41}}}}"
"Cluster 44",74.6602080540007,"{{5,{20,{3,31}}},{{40,{2,24}},{{1,8},{{32,{13,28}},{18,22}}}}}"
"Cluster 45",79.2006733978106,"{{{4,42},{10,{6,43}}},{{25,39},{{21,30},{{37,{46,50}},{36,47}}}}}"
"Cluster 46",99.9266397580412,"{{{12,{17,26}},{{35,44},{27,{{14,16},{7,38}}}}},{{11,{23,{49,{15,29}}}},{{34,45},{48,{19,41}}}}}"
"Cluster 47",118.773790599329,"{{9,33},{{5,{20,{3,31}}},{{40,{2,24}},{{1,8},{{32,{13,28}},{18,22}}}}}}"
"Cluster 48",193.520231500482,"{{{{4,42},{10,{6,43}}},{{25,39},{{21,30},{{37,{46,50}},{36,47}}}}},{{{12,{17,26}},{{35,44},{27,{{14,16},{7,38}}}}},{{11,{23,{49,{15,29}}}},{{34,45},{48,{19,41}}}}}}"
"Cluster 49",338.987295730484,"{{{9,33},{{5,{20,{3,31}}},{{40,{2,24}},{{1,8},{{32,{13,28}},{18,22}}}}}},{{{{4,42},{10,{6,43}}},{{25,39},{{21,30},{{37,{46,50}},{36,47}}}}},{{{12,{17,26}},{{35,44},{27,{{14,16},{7,38}}}}},{{11,{23,{49,{15,29}}}},{{34,45},{48,{19,41}}}}}}}"
